latitude,longitude,area_1990,area_2000,area_2020,area_change_km2,annual_area_change_km2_per_year
36.08030166666667,73.64574583333334,0.2565,0.2565,0.2565,0.0,0.0
36.0835725,73.76992694444445,0.0297,0.0297,0.0297,0.0,0.0
36.07719666666667,73.23211972222222,0.0486,0.0486,0.0486,0.0,0.0
36.08602277777778,73.46029,0.1152,0.1152,0.1152,0.0,0.0
36.09253861111112,73.68799416666667,0.0315,0.0315,0.0315,0.0,0.0
36.28232222222222,73.16144083333334,0.0099,0.0099,0.0099,0.0,0.0
36.28879722222222,73.16686611111112,0.0135,0.0135,0.0135,0.0,0.0
35.68520583333333,73.09845972222222,0.009885,0.009885,0.009885,0.0,0.0
36.3391125,73.55373583333333,0.0378,0.0378,0.0378,0.0,0.0
36.34359055555556,73.55548527777778,0.0594,0.0594,0.0594,0.0,0.0
36.343787500000005,73.59717527777778,0.0135,0.0135,0.0135,0.0,0.0
36.350946111111114,73.51351444444444,0.1557,0.1557,0.1557,0.0,0.0
36.40542611111111,73.64036555555556,0.0072,0.0072,0.0072,0.0,0.0
36.03726861111111,73.19158305555555,0.0594,0.0594,0.0594,0.0,0.0
36.0432625,73.57976333333333,0.0081,0.0081,0.0081,0.0,0.0
36.04468861111111,73.54698666666667,0.0153,0.0153,0.0153,0.0,0.0
36.047531944444444,73.71624055555556,0.0063,0.0063,0.0063,0.0,0.0
36.04677916666667,73.51257527777778,0.018,0.018,0.018,0.0,0.0
36.048178888888884,73.55289555555555,0.009,0.009,0.009,0.0,0.0
36.04863777777778,73.578825,0.0108,0.0108,0.0108,0.0,0.0
36.05192666666667,73.71279111111112,0.0243,0.0243,0.0243,0.0,0.0
36.050707499999994,73.57462583333333,0.0207,0.0207,0.0207,0.0,0.0
36.05554,73.51788944444445,0.0099,0.0099,0.0099,0.0,0.0
36.057653888888886,73.51638916666667,0.0117,0.0117,0.0117,0.0,0.0
36.06180083333333,73.72764333333333,0.0378,0.0378,0.0378,0.0,0.0
36.06032833333333,73.67261694444444,0.009,0.009,0.009,0.0,0.0
36.0558425,73.19527361111112,0.0378,0.0378,0.0378,0.0,0.0
36.064476388888885,73.55203083333333,0.0234,0.0234,0.0234,0.0,0.0
36.061885555555556,73.20444666666667,0.0288,0.0288,0.0288,0.0,0.0
35.90602194444444,73.55660083333333,0.0198,0.0198,0.0198,0.0,0.0
35.91248944444445,73.96440166666667,0.0423,0.0423,0.0423,0.0,0.0
35.90870111111111,73.6193261111111,0.0207,0.0207,0.0207,0.0,0.0
35.907605833333335,73.49634027777778,0.0198,0.0198,0.0198,0.0,0.0
35.91312611111111,73.9522411111111,0.0252,0.0252,0.0252,0.0,0.0
36.02266777777778,73.57743277777777,0.0063,0.0063,0.0063,0.0,0.0
36.02685527777778,73.71565472222223,0.0216,0.0216,0.0216,0.0,0.0
36.02415777777777,73.32732,0.081,0.081,0.081,0.0,0.0
36.02692111111111,73.57067444444444,0.0261,0.0261,0.0261,0.0,0.0
36.03046194444445,73.71315583333333,0.0972,0.0972,0.0972,0.0,0.0
36.0364425,73.78284027777778,0.0252,0.0252,0.0252,0.0,0.0
