id,name,place_type,latitude,longitude,population
342119046,Darchiks,village,34.6324636,76.3828898,
342119055,Khangral,village,34.3739311,76.5269543,
342119097,Sonamarg,village,34.302387,75.2965551,
342119120,Patnitop,village,33.09082,75.32639,
342119126,Qazigund,town,33.5934693,75.1658235,9871
342119133,Banihal,town,33.4378883,75.1954855,2729
342119140,Kud,village,33.07749,75.2928077,
342119164,Bijbehara,town,33.7935169,75.1061554,22789
342119173,Khanabal,village,33.7486825,75.1205357,
342119192,Margund,village,34.25537,74.91577,
342119198,Gagangir,village,34.28833,75.19455,
342119205,Kullan,village,34.2691,75.14923,
342119211,Ravil,village,34.26224,75.12589,
342119214,Gund,village,34.25812,75.08881,
342119228,Awantipora,town,33.91891,75.01465,12647
342119234,Pampore,town,34.01092,74.91303,21680
342119260,Haripura,village,34.2906939,74.8373567,
342119267,Kangan,village,34.26361,74.90341,
342119298,Trespone,village,34.42016,76.03501,
342119316,Sankoo,town,34.2896796,75.96222,2698
342119370,Parkachik,village,34.0902009,75.9912068,
342119377,Tangol,village,34.05899,75.93201,
342119383,Panikhar,village,34.1186738,75.9467562,
342119393,Bhimbat,village,34.4332215,75.817907,
342119405,Dinanagar,town,32.1338479,75.4719883,
342119430,Matayeen,village,34.37073,75.58869,
342119437,Gumri,hamlet,34.2949373,75.4830404,
366079598,Nathia Gali,town,34.0683118,73.3927263,
366079599,Donga Gali,village,34.0520942,73.4061204,
366080452,Bourbon,village,33.939351,73.446405,
388580812,Spituk,village,34.1251473,77.5225662,
388581191,Markha,village,33.8859985,77.4233499,
388581414,Shang Sumdo,hamlet,33.8535383,77.707567,
388581444,Martselang,village,33.9063597,77.7370484,
402282690,Solang,village,32.3160963,77.1565572,
413907763,,village,33.9960103,72.9438715,
431395409,Shigar,town,35.4226164,75.7371078,
434391932,Batote,town,33.1227262,75.3210211,3811
434392578,Ramban,town,33.2387042,75.2404448,3585
484217139,Likir,village,34.2926459,77.2170627,
489448423,Hunder Dok,village,34.4930173,77.4328503,
490741610,Phyang,village,34.185084,77.4902163,
492413665,Chogdo,hamlet,33.8304448,77.6690798,
493574758,Sara,hamlet,33.9280847,77.353896,
493585362,Umlung,village,33.8687719,77.4637938,
513158380,Gulmarg,village,34.04897,74.39212,
540060617,Yada Goth,hamlet,32.2270547,76.6814542,
540540803,Boching,hamlet,32.0098636,76.8600545,
540540806,Kau,hamlet,32.0156573,76.8507466,
540540807,Kalhog,hamlet,32.0111017,76.85361,
540557736,Doghri,hamlet,32.0102117,77.0118657,
540560239,Gramang,hamlet,32.0154876,77.0126379,
540569543,Himri,village,32.0601785,77.0698154,
540669092,Karal,village,32.0683765,77.0953968,
540669826,Shirar,village,32.0677686,77.1240279,
540680647,Raison,village,32.0578182,77.1349306,
540761153,Ahju,village,32.0254221,76.7037954,
540888754,Sansal,village,32.0668867,76.6963209,
554049249,Ranital,village,32.0049553,76.2303664,
559380385,Chetru,village,32.1603568,76.2919245,
560415689,Mainjha,village,32.1106199,76.4928079,
560418351,Bagoda,village,32.1226921,76.4895973,
560419702,Nagri,village,32.1311997,76.4763317,
560422666,Chachiyan,village,32.132814,76.4714447,
560422752,Gopalpur,village,32.143623,76.4544356,
560434269,Jadrangal,village,32.1592238,76.4100659,
560438088,Tang,village,32.1636613,76.401473,
560443446,Yol,village,32.1815419,76.3733706,
560446587,Sidhbari,village,32.189926,76.3620776,
560446662,Sidhpur,village,32.1935099,76.3485352,
567271012,Dhundi,hamlet,32.3555328,77.1265313,
570710805,Sudher,village,32.2154323,76.3019677,
570710811,Gharoh,village,32.2110128,76.2844867,
570710886,Maiti,village,32.2114729,76.2751606,
570739099,Ghera,village,32.2624197,76.286934,
570749137,Dhrakala,village,32.2733476,76.2871504,
582860717,Barot,village,32.0377277,76.8452055,
582988362,Balakot,town,34.5506738,73.3525734,
583368833,Khargush,hamlet,37.381745,73.1195064,
622316123,Naddi,village,32.2495871,76.3078116,
622316377,Dharamkot,village,32.2455318,76.3259971,
622324606,Rava,hamlet,32.2728777,76.2980056,
622325147,Khadbai,village,32.2774953,76.2914211,
622326108,Uparli Khadbai,village,32.2803553,76.2893602,
622327065,Nauli,village,32.2852494,76.2612027,
622355805,,village,32.2861296,76.247982,
622811200,Jamali,village,32.2725191,76.2883845,
622811884,Bontu,village,32.26956,76.2965908,
639360896,Khaskhorug,village,37.2597187,71.4882729,
673857660,Sokni Da Kot,hamlet,32.2019692,76.3718886,
673857701,Loont,hamlet,32.2078664,76.3807662,
673872060,Thathri,hamlet,32.2360686,76.3655013,
673875224,Kand,hamlet,32.1692931,76.4245933,
676474641,Kalu di Hatti,village,32.0870782,76.5244472,
695054933,Bhagsu,village,32.243964,76.3334748,
699749090,Billing,hamlet,32.0584272,76.7446275,
