sample_id,area,longitude,latitude,is_top200,temperature,rainfall,label,elevation,distance_to_nearest_settlement_km,nearest_settlement_name
179,0.001671253,74.46294945,35.27377298,FALSE,5.99,1.02,0,3837,6.616275535,Sar
180,0.002316434,74.48153044,35.26919981,FALSE,5.99,1.02,0,3944,7.099106339,
181,0.000711293,74.47627043,35.26874793,FALSE,5.99,1.02,0,3933,7.237991279,
182,0.004421206,74.45095577,35.21706839,FALSE,-0.81,1.73,0,4766,10.55997063,Sar
183,0.00769109,74.55224266,34.91579598,FALSE,-0.81,1.73,0,4268,8.512255791,Upper Domail
184,0.000373784,74.55081943,34.91616479,FALSE,-0.81,1.73,0,4252,8.382546005,Upper Domail
185,0.002800037,74.51326186,34.97318281,FALSE,-0.81,1.73,0,3093,3.732824568,Upper Domail
186,0.00187164,74.5425938,35.17284305,FALSE,-0.81,1.73,0,3928,12.67143585,Yakme
187,0.003585569,74.71249725,35.4288492,FALSE,1.52,1.06,0,4825,4.592193658,Muthath
188,0.004220404,74.70881358,35.42906386,FALSE,1.52,1.06,0,4760,4.266740808,Muthath
189,0.0026012,74.67752876,35.02898605,FALSE,-0.81,1.73,0,3879,9.857518878,
190,0.002594436,74.65091158,34.9113641,FALSE,-0.81,1.73,0,4113,15.06144365,Marnat
191,0.004160333,74.78777517,35.35076051,FALSE,1.52,1.06,0,3393,1.478705582,Rama
192,0.000803326,74.7945702,35.33624945,FALSE,1.52,1.06,0,3456,2.207516258,Rama
193,0.001889601,74.79391974,35.33575105,FALSE,1.52,1.06,0,3453,2.280710201,Rama
194,0.000667741,74.7911331,35.33176378,FALSE,1.52,1.06,0,3481,2.787269516,Rama
195,0.002394383,74.73796965,35.2814975,FALSE,1.52,1.06,0,4393,2.45088186,Hussain Nori Baihk
196,0.018216347,74.68127495,35.36421345,FALSE,5.99,1.02,0,4207,6.700933017,Muthath
197,0.021013819,74.70944522,35.44748321,FALSE,1.52,1.06,0,4548,5.086987519,Muthath
198,0.00014662,74.70845651,35.44821834,FALSE,1.52,1.06,0,4555,5.057985406,Muthath
199,0.005997156,74.62691722,34.9385985,FALSE,-0.81,1.73,0,4276,13.976501,Upper Domail
200,0.005753862,74.61667102,34.9181976,FALSE,-0.81,1.73,0,4088,13.64969681,Upper Domail
201,0.001136409,74.59289673,34.98203261,FALSE,-0.81,1.73,0,4011,10.95958545,Upper Domail
202,0.000886358,74.60714406,35.01355005,FALSE,-0.81,1.73,0,4562,13.38448341,Upper Domail
203,0.004917332,74.60605749,35.01323541,FALSE,-0.81,1.73,0,4559,13.28032908,Upper Domail
204,0.005143507,74.60071182,35.04835115,FALSE,-0.81,1.73,0,4413,15.05720791,Upper Domail
205,0.004451816,74.6120123,35.10472955,FALSE,-0.81,1.73,0,4241,12.61915705,Yakme
206,0.002216133,74.56700403,35.17463519,FALSE,-0.81,1.73,0,3732,10.4976078,Yakme
207,0.007525629,74.5162856,35.10417475,FALSE,-0.81,1.73,0,4925,16.48329821,Upper Domail
208,0.001234364,74.48058725,35.00809999,FALSE,-0.81,1.73,0,4158,5.399713885,Upper Domail
209,0.00178117,74.44136211,34.99498901,FALSE,-0.81,1.73,0,3151,5.020949664,Upper Domail
210,0.002082331,72.01837296,36.43187072,FALSE,-4.58,0.64,0,3758,14.03270418,Shagrom Mulkhow
211,0.008813377,72.01547532,36.43303777,FALSE,-4.58,0.64,0,3761,14.30852646,Shagrom Mulkhow
212,0.002672722,72.01835987,36.4350035,FALSE,-4.58,0.64,0,3790,14.28070667,Shagrom Mulkhow
213,0.000445158,72.01643589,36.43677515,FALSE,-4.58,0.64,0,3810,14.54191176,Shagrom Mulkhow
214,0.003412868,72.01373995,36.43692057,FALSE,-4.58,0.64,0,3822,14.72267409,Shagrom Mulkhow
215,0.000517341,72.02075028,36.44020202,FALSE,-4.58,0.64,0,3808,14.55565353,Shagrom Mulkhow
216,0.000819689,72.00994964,36.44311858,FALSE,-4.58,0.64,0,3891,15.45221881,Shagrom Mulkhow
217,0.000282954,72.01063894,36.44390607,FALSE,-4.58,0.64,0,3885,15.47278692,Shagrom Mulkhow
218,0.001429009,72.0089609,36.44406348,FALSE,-4.58,0.64,0,3906,15.58924309,Shagrom Mulkhow
219,0.000990743,72.00821611,36.44461575,FALSE,-4.58,0.64,0,3907,15.67969114,Shagrom Mulkhow
220,0.008931604,72.00497141,36.446495,FALSE,-4.58,0.64,0,3918,16.03169931,Shagrom Mulkhow
221,0.006052926,72.00284606,36.44794995,FALSE,-4.58,0.64,0,3948,16.28022926,Shagrom Mulkhow
222,0.002512921,72.00237148,36.44876667,FALSE,-4.58,0.64,0,3954,16.37492099,Shagrom Mulkhow
223,0.000386847,71.99715946,36.44931448,FALSE,-4.58,0.64,0,3983,16.7459305,Shagrom Mulkhow
224,0.000692535,71.9959074,36.44828746,FALSE,-4.58,0.64,0,3979,16.74557598,Shagrom Mulkhow
225,0.000684891,72.0007375,36.45156103,FALSE,-4.58,0.64,0,3955,16.70002271,Shagrom Mulkhow
226,0.000567758,72.00111963,36.45126478,FALSE,-4.58,0.64,0,3956,16.65259155,Shagrom Mulkhow
227,0.001924058,72.00279883,36.45093978,FALSE,-4.58,0.64,0,3947,16.52281378,Shagrom Mulkhow
228,0.000485713,72.0042859,36.45041616,FALSE,-4.58,0.64,0,3939,16.3891436,Shagrom Mulkhow
229,0.001258353,72.00882712,36.44816062,FALSE,-4.58,0.64,0,3906,15.92857589,Shagrom Mulkhow
