source_row_number,source_polygon_id,lake_id,canonical_lake_id,processed_sample_id,latitude,longitude,reference_area_km2,elevation_m,distance_to_nearest_settlement_km,source_centroid_latitude,source_centroid_longitude,source_area_km2,geometry_sha256,source_geometry_valid,source_validation_warning,reconciliation_status,reconciliation_reason,eligible_for_processing
30,30,PKGL-00030,PKGL-00030,30,35.12115546,74.14455504,0.005218218,4261.0,12.528372943318962,35.12115545744579,74.14455503939641,0.00521821755665,ea8784cb9bb35158b1608e842297a02e8693a00bd7d064bfcba657eb3ee11ea6,True,,INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
31,31,PKGL-00031,PKGL-00031,31,35.10494894,74.21879852,0.026402789,4404.0,15.150406443992305,35.10494893811306,74.21879852019559,0.026402789460700002,5c862b53ca189a6e307e6a00e4a3c8177c52f21fb447491324f923230dcec482,True,,INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
32,32,PKGL-00032,PKGL-00032,32,35.10289113,74.21838499,0.002361446,4428.0,15.35575252264189,35.102891126007975,74.21838498996276,0.0023614461503000004,0f0fb45a4addd172a95532e7b221e8d9641ba9e91ace54e215f75aad7239c3c8,True,,INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
33,33,PKGL-00033,PKGL-00033,33,35.10045216,74.21697416,0.008699161,4448.0,15.64989089506585,35.10045216115721,74.21697415589044,0.00869916053374,352fb51df79a4cd9ce22cdd3f062fc676a33c6faa57342da14b098edde49aebe,True,,INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
34,34,PKGL-00034,PKGL-00034,34,35.10080893,74.21504603,0.001741513,4442.0,15.723476878284991,35.100808931850615,74.2150460254427,0.00174151271608,1126bce0f40830f8ae72940e8b5fc2c69d88a52f5d545debfc6cf477933f9973,True,,INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
35,35,PKGL-00035,PKGL-00035,35,35.09662396,74.19078405,0.00302369,4348.0,17.458087429736104,35.09662395539239,74.19078404707848,0.0030236900520899997,d86637026519a141d8128eb500b7f95263f62227a6fb60e6ff27d5af18e7d4e8,True,,INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
36,36,PKGL-00036,PKGL-00036,36,35.08756943,74.19835689,0.026828355,4376.0,17.816934641190024,35.08756942744143,74.19835689155305,0.0268283553923,542f93fa605e4a076e93d1fd95441e5d7cb6381618350d7d70ed65bce32400f2,True,,INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
37,37,PKGL-00037,PKGL-00037,37,35.07046505,74.22515598,0.025998731,4408.0,18.06892269686112,35.070465051486416,74.22515597554562,0.025998730699799997,d1d9d8502666994b13c2ff93f712017398b5bfe7471b61d8668ed4635313a57a,True,,INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
38,38,PKGL-00038,PKGL-00038,38,35.062034,74.22254699,0.016978644,4398.0,19.008100639419546,35.0620339996838,74.2225469871207,0.0169786438976,c804f8943d943cb5ace3cc09615fd3433be768fae1b1ee1283d82aa1307efd25,True,,INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
39,39,PKGL-00039,PKGL-00039,39,35.03726559,74.18089311,0.028634279,4025.0,17.255278254499746,35.037265590105854,74.18089309945705,0.028634278814000002,ab51617b7c33680b46bfc4dcac686bdc23caf722e8b310f3365884266efac824,True,,INCLUDED,Unique source geometry mapped in source order after exact de-duplication,True
