OBJECTID_1,Id,OBJECTID,Shape_Leng,Shape_Le_1,Shape_Area,area_km2,longitude,latitude,is_top200,avg_temp_c,avg_precip_mm,label
8423,0,0,0.0,365.041926985,9017.11150226,0.00901711150226,74.9406726436694,35.0040905877656,False,-2.4,1.63,0
8424,0,0,0.0,700.440482488,26292.8496065,0.0262928496065,74.94129323927463,35.00084086011507,False,-2.4,1.63,0
8425,0,0,0.0,1615.61087934,111308.158998,0.11130815899799999,75.00107694693796,35.01623814435975,False,-2.4,1.63,0
8426,0,0,0.0,1459.03187823,142059.178331,0.142059178331,75.05052523027337,34.97202857982095,True,-2.4,1.63,0
8427,0,0,0.0,1119.41598217,83339.9962451,0.08333999624510001,75.03921352952032,34.979924265292325,False,-2.4,1.63,0
8428,0,0,0.0,543.63216551,18522.0297402,0.0185220297402,75.05271813564575,34.963096610257146,False,-2.4,1.63,0
8429,0,0,0.0,1735.07901738,146253.0316,0.1462530316,75.17717417917814,34.92037688987825,True,-2.4,1.63,0
8430,0,0,0.0,1911.48548973,159779.290845,0.159779290845,75.18874182759926,34.91935623253565,True,-2.4,1.63,0
8431,0,0,0.0,915.580298031,51252.7006592,0.051252700659200005,75.14307296800706,34.91962537375839,False,-2.4,1.63,0
8432,0,0,0.0,652.955966578,24969.9045917,0.0249699045917,74.73479777952628,34.84182275101665,False,-2.4,1.63,0
8433,0,0,0.0,1056.74163912,49612.746648,0.049612746648,74.7281522059916,34.8361407122734,False,-2.4,1.63,0
8434,0,0,0.0,644.195060127,20103.0304123,0.020103030412299997,74.71863915276951,34.83048297020362,False,-2.4,1.63,0
8435,0,0,0.0,1072.54482516,44980.2612386,0.044980261238599994,74.7170451704903,34.82534369452915,False,-2.4,1.63,0
8436,0,0,0.0,510.568097615,17372.0987837,0.0173720987837,74.70242844615886,34.8196129853921,False,-2.4,1.63,0
8437,0,0,0.0,286.034179107,5777.64646786,0.00577764646786,74.74222982734342,34.83439457747932,False,-2.4,1.63,0
8438,0,0,0.0,482.822581732,9671.43150997,0.00967143150997,74.72238757021368,34.81264207462175,False,-2.4,1.63,0
8439,0,0,0.0,499.621362796,9873.98974803,0.00987398974803,74.73759350937843,34.843861116381014,False,-2.4,1.63,0
8440,0,0,0.0,2020.48917425,244955.786233,0.244955786233,74.76112387372345,34.839399049575505,True,-2.4,1.63,0
8441,0,0,0.0,877.183662581,40645.5020652,0.040645502065200005,74.7705885717158,34.84665102130072,False,-2.4,1.63,0
8442,0,0,0.0,2045.63475978,121590.222291,0.121590222291,74.78665258482825,34.84644723043779,True,-2.4,1.63,0
8443,0,0,0.0,889.099377585,45985.494974,0.045985494974,74.79631324656505,34.85308407275404,False,-2.4,1.63,0
8444,0,0,0.0,3331.92992199,477171.417365,0.477171417365,74.80872037632845,34.84501715462898,True,-2.4,1.63,0
8445,0,0,0.0,1498.16388568,119556.853339,0.119556853339,75.19819800374064,35.04873111525789,True,-2.4,1.63,0
8446,0,0,0.0,865.84373248,41978.9346676,0.0419789346676,75.1362120544009,35.11980059212006,False,-2.4,1.63,0
8447,0,0,0.0,594.744662421,19044.4344487,0.019044434448700003,75.14211692915647,35.12144139691376,False,-2.4,1.63,0
8448,0,0,0.0,934.336092952,43209.6412375,0.0432096412375,75.14537740368733,35.12642553840941,False,-2.4,1.63,0
8449,0,0,0.0,411.769576817,7729.06614095,0.00772906614095,75.11239110793638,35.13275494028076,False,-2.4,1.63,0
8450,0,0,0.0,430.898579558,12312.8846087,0.0123128846087,75.09736988205904,35.161111540833346,False,-2.4,1.63,0
8451,0,0,0.0,876.864569672,54534.932701,0.054534932700999995,75.09820398350051,35.16862014646632,False,-2.4,1.63,0
8452,0,0,0.0,1033.28170001,46804.8748673,0.0468048748673,75.11353084586472,35.176004236582045,False,-2.4,1.63,0
8453,0,0,0.0,570.44407504,19073.2158508,0.0190732158508,75.13332838984527,35.16581995722109,False,-2.4,1.63,0
8454,0,0,0.0,603.549257067,24543.3305466,0.0245433305466,75.15481711589968,35.28253356701926,False,1.52,1.06,0
8455,0,0,0.0,751.985686419,23477.5073405,0.0234775073405,75.213199548176,35.22727157871228,False,-2.4,1.63,0
8456,0,0,0.0,783.520368859,41114.1024669,0.041114102466900004,75.21726151918132,35.228444553177184,False,-2.4,1.63,0
8457,0,0,0.0,418.336397141,11236.6961152,0.0112366961152,75.2397828351235,35.231987586225365,False,-2.4,1.63,0
8458,0,0,0.0,220.368540595,3005.40294817,0.00300540294817,75.2414982338137,35.23316498607242,False,-2.4,1.63,0
8459,0,0,0.0,885.745942973,22810.5408584,0.0228105408584,75.22271697368889,35.21948916661732,False,-2.4,1.63,0
