sample_id,area,longitude,latitude,is_top200,temperature,rainfall,label,elevation,distance_to_nearest_settlement_km,annual_area_change_km2_per_year,growth_data_available,label_source,matched_event_id,matched_event_name,match_distance_km,matched_reference_row,label_method,label_provenance_status,geographic_group_025deg
55,0.002713219,74.25739938,34.86961775,0,-0.81,1.73,0,4157,5.566806078079532,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,58.41986677465007,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_297
56,0.096159655,74.2501474,34.8738647,0,-0.81,1.73,0,4039,4.901734092009392,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,58.58026384719568,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_297
57,0.042144851,74.24740011,34.87954239,0,-0.81,1.73,0,3950,4.7194682970262285,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,58.3395484617686,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_296
58,0.045135424,74.28595576,34.88968736,0,-0.81,1.73,0,4155,8.374722813457627,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,54.994221071414806,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_297
59,0.007744976,74.30421112,34.95925824,0,-0.81,1.73,0,4187,11.492084998891896,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,48.6496126644588,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_297
60,0.001519449,74.32756059,34.96456666,0,-0.81,1.73,0,4163,10.065763139485387,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,46.62329276614373,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_297
61,0.007531323,74.29220132,35.00268236,0,-0.81,1.73,0,4189,15.28754284949229,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,46.714793446289804,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,140_297
62,0.001324219,74.27956099,35.03218249,0,-0.81,1.73,0,4443,18.45283514570992,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,46.016182534949536,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,140_297
63,0.006262633,74.27051762,35.03424086,0,-0.81,1.73,0,4211,19.17493536808659,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,46.63181001747379,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,140_297
64,0.003331451,74.26216638,35.04384006,0,-0.81,1.73,0,4313,19.566539759522115,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,46.818175202292764,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,140_297
65,0.001460655,74.278914,35.05153027,0,-0.81,1.73,0,4197,18.377209637307843,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,45.06998017956146,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,140_297
66,0.007277967,74.27883909,35.0532169,0,-0.81,1.73,0,4188,18.19494067014197,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,44.99292168140416,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,140_297
67,0.003130972,74.29684743,35.05912433,0,-0.81,1.73,0,4481,17.280194866816313,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,43.22994870150503,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,140_297
68,0.002023044,74.26928218,35.06208345,0,-0.81,1.73,0,3915,17.438858511730974,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,45.35666148145624,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,140_297
69,0.001066896,74.26995854,35.09670217,0,-0.81,1.73,0,4302,13.741266746823047,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,43.8335135050203,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,140_297
70,0.007291193,74.28735471,35.12268651,0,-0.81,1.73,0,4543,10.506414812255787,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,41.407931113436504,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,140_297
71,0.079399207,74.3763953,35.1972932,0,-0.81,1.73,0,4642,5.455672828113641,0.00168,1,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,31.701707893294024,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,140_297
