lake_id,observed_at,area_km2,cloud_percentage,clear_fraction,quality_status,source_image_id,water_index,source,is_mock,rejection_reason,ingested_at
PKGL-03673,2026-08-29T05:59:20.583000+00:00,0.017610834904654094,1.676,1.0,RELIABLE,20260829T055251_20260829T055252_T43SEV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,,2026-09-01T05:52:51.347380+00:00
PKGL-07949,2026-08-27T05:59:10.698000+00:00,0.001600444794081452,18.975,0.8102,RELIABLE,20260827T054631_20260827T055705_T43SCV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,,2026-09-01T05:52:55.648869+00:00
PKGL-08763,2026-08-24T05:49:24.454000+00:00,0.0008006930404428798,34.99,0.6501,RELIABLE,20260824T053641_20260824T054735_T43SDU,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,,2026-09-01T05:53:02.311610+00:00
PKGL-04917,2026-08-29T05:59:20.583000+00:00,,1.676,0.9975,REJECTED,20260829T055251_20260829T055252_T43SEV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T05:53:16.020149+00:00
PKGL-04454,2026-08-29T05:49:06.714000+00:00,,6.442,0.9356,REJECTED,20260829T053639_20260829T054427_T43SEV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T05:53:24.661386+00:00
PKGL-05131,2026-08-29T05:59:20.583000+00:00,,1.676,1.0,REJECTED,20260829T055251_20260829T055252_T43SEV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T05:53:40.925366+00:00
PKGL-00639,2026-08-30T06:09:15.501000+00:00,0.1727427377139814,8.259,1.0,RELIABLE,20260830T055631_20260830T055743_T42SXE,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,,2026-09-01T05:53:43.822418+00:00
PKGL-02710,2026-08-31T05:39:10.946000+00:00,,90.444,0.0956,REJECTED,20260831T052641_20260831T053602_T43SFV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,insufficient clear pixels; cloud percentage above configured limit; no reliable water pixels,2026-09-01T05:53:58.801398+00:00
PKGL-07272,2026-08-29T05:49:21.340000+00:00,,5.047,1.0,REJECTED,20260829T053639_20260829T054427_T43SEU,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T05:54:07.326463+00:00
PKGL-07782,2026-08-29T05:59:42.535000+00:00,,90.892,0.0911,REJECTED,20260829T055251_20260829T055252_T43SCU,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,insufficient clear pixels; cloud percentage above configured limit; no reliable water pixels,2026-09-01T05:54:17.147569+00:00
PKGL-07035,2026-08-30T06:08:52.283000+00:00,,13.414,0.8659,REJECTED,20260830T055631_20260830T055743_T43SCA,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T05:54:32.197001+00:00
PKGL-01330,2026-08-17T05:59:10.933000+00:00,0.005201549383760534,5.786,1.0,RELIABLE,20260817T054631_20260817T055709_T43SCV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,,2026-09-01T05:54:38.765944+00:00
PKGL-01405,2026-08-29T05:59:24.419000+00:00,,9.098,0.9502,REJECTED,20260829T055251_20260829T055252_T43SDV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T05:54:49.537413+00:00
PKGL-02203,2026-08-31T05:39:10.946000+00:00,,69.883,0.3101,REJECTED,20260831T052641_20260831T053602_T43SFV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,insufficient clear pixels; cloud percentage above configured limit; no reliable water pixels,2026-09-01T05:55:04.899414+00:00
PKGL-05664,2026-08-29T05:59:05.939000+00:00,,14.763,1.0,REJECTED,20260829T055251_20260829T055252_T43SEA,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T05:55:20.251589+00:00
PKGL-06316,2026-08-29T05:48:52.285000+00:00,0.0008003631397883261,12.612,1.0,RELIABLE,20260829T053639_20260829T054427_T43SEA,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,,2026-09-01T05:55:23.698622+00:00
PKGL-06130,2026-08-29T05:48:52.285000+00:00,,12.612,1.0,REJECTED,20260829T053639_20260829T054427_T43SEA,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T05:55:31.314207+00:00
PKGL-01656,2026-08-27T05:58:56.109000+00:00,0.029206210928497737,5.932,0.9996,RELIABLE,20260827T054631_20260827T055705_T43SCA,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,,2026-09-01T05:55:37.864853+00:00
PKGL-05614,2026-08-29T05:59:05.939000+00:00,,14.763,0.8829,REJECTED,20260829T055251_20260829T055252_T43SEA,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T05:55:53.948059+00:00
PKGL-01345,2026-08-29T05:59:28.143000+00:00,,100.0,0.0,REJECTED,20260829T055251_20260829T055252_T43SCV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,insufficient clear pixels; cloud percentage above configured limit; no reliable water pixels,2026-09-01T05:56:05.089367+00:00
PKGL-06176,2026-08-29T05:48:52.285000+00:00,,12.612,1.0,REJECTED,20260829T053639_20260829T054427_T43SEA,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T05:56:14.876437+00:00
PKGL-07440,2026-08-29T05:49:21.340000+00:00,0.014810310390309191,5.047,0.9999,RELIABLE,20260829T053639_20260829T054427_T43SEU,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,,2026-09-01T05:56:17.836070+00:00
PKGL-04221,2026-08-29T05:59:20.583000+00:00,0.005603438099179896,1.676,1.0,RELIABLE,20260829T055251_20260829T055252_T43SEV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,,2026-09-01T05:56:21.164272+00:00
PKGL-03396,2026-08-29T05:59:20.583000+00:00,,7.456,0.9254,REJECTED,20260829T055251_20260829T055252_T43SEV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T05:56:37.606152+00:00
PKGL-00464,2026-08-30T06:09:12.376000+00:00,,16.699,0.8941,REJECTED,20260830T055631_20260830T055743_T42SYE,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T05:56:53.007801+00:00
PKGL-07184,2026-08-29T05:49:21.340000+00:00,,5.047,1.0,REJECTED,20260829T053639_20260829T054427_T43SEU,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T05:57:01.497248+00:00
PKGL-01643,2026-08-29T05:59:28.143000+00:00,,74.783,0.2522,REJECTED,20260829T055251_20260829T055252_T43SCV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,insufficient clear pixels; cloud percentage above configured limit; no reliable water pixels,2026-09-01T05:57:11.998119+00:00
PKGL-01227,2026-08-30T06:09:10.601000+00:00,0.025189756706225544,20.039,0.9241,RELIABLE,20260830T055631_20260830T055743_T43SBV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,,2026-09-01T05:57:15.129096+00:00
PKGL-05874,2026-08-29T05:59:09.961000+00:00,,5.671,1.0,REJECTED,20260829T055251_20260829T055252_T43SDA,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T05:57:23.529381+00:00
PKGL-05539,2026-08-29T05:49:03.488000+00:00,0.0008002449099084901,21.914,0.7809,RELIABLE,20260829T053639_20260829T054427_T43SFV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,,2026-09-01T05:57:26.412769+00:00
PKGL-04353,2026-08-29T05:49:06.714000+00:00,,14.054,0.8595,REJECTED,20260829T053639_20260829T054427_T43SEV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T05:57:35.278175+00:00
PKGL-07980,2026-08-27T05:59:25.089000+00:00,0.0024012128711064728,21.485,0.7941,RELIABLE,20260827T054631_20260827T055705_T43SCU,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,,2026-09-01T05:57:39.538267+00:00
PKGL-03854,2026-08-29T05:59:20.583000+00:00,,1.676,1.0,REJECTED,20260829T055251_20260829T055252_T43SEV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T05:57:55.430623+00:00
PKGL-06543,2026-08-29T05:59:24.419000+00:00,,9.098,1.0,REJECTED,20260829T055251_20260829T055252_T43SDV,MNDWI,Sentinel-2 SR Harmonized / Google Earth Engine,0,no reliable water pixels,2026-09-01T05:58:05.544742+00:00
