lake_id,name,latitude,longitude,elevation_m,distance_to_nearest_settlement_km,reference_area_km2,updated_at
PKGL-00063,,35.03424086,74.27051762,4211.0,19.17493536808659,0.006262633,2026-09-01T06:54:27.896595+00:00
PKGL-00064,,35.04384006,74.26216638,4313.0,19.566539759522115,0.003331451,2026-09-01T06:54:27.896595+00:00
PKGL-00065,,35.05153027,74.278914,4197.0,18.377209637307843,0.001460655,2026-09-01T06:54:27.896595+00:00
PKGL-00066,,35.0532169,74.27883909,4188.0,18.19494067014197,0.007277967,2026-09-01T06:54:27.896595+00:00
PKGL-00067,,35.05912433,74.29684743,4481.0,17.280194866816313,0.003130972,2026-09-01T06:54:27.896595+00:00
PKGL-00068,,35.06208345,74.26928218,3915.0,17.438858511730974,0.002023044,2026-09-01T06:54:27.896595+00:00
PKGL-00069,,35.09670217,74.26995854,4302.0,13.741266746823047,0.001066896,2026-09-01T06:54:27.896595+00:00
PKGL-00070,,35.12268651,74.28735471,4543.0,10.506414812255787,0.007291193,2026-09-01T06:54:27.896595+00:00
PKGL-00071,,35.1972932,74.3763953,4642.0,5.455672828113641,0.079399207,2026-09-01T06:54:27.896595+00:00
PKGL-00072,,35.0128905,74.37392754,3864.0,11.00082041969732,0.003027491,2026-09-01T06:54:27.896595+00:00
PKGL-00073,,34.96838023,74.37697665,3404.0,7.4429331760818735,0.005580415,2026-09-01T06:54:27.896595+00:00
PKGL-00074,,34.89789041,74.34220828,3967.0,6.043516545222543,0.009904528,2026-09-01T06:54:27.896595+00:00
PKGL-00075,,34.90302733,74.36179248,4135.0,4.73943672778728,0.008394886,2026-09-01T06:54:27.896595+00:00
PKGL-00076,,34.86712201,74.30747407,4017.0,5.388776243811909,0.006073095,2026-09-01T06:54:27.896595+00:00
PKGL-00077,,34.86295733,74.27980466,4213.0,7.6029722668194335,0.00259134,2026-09-01T06:54:27.896595+00:00
PKGL-00078,,34.86987802,74.26098517,4168.0,5.89222300513656,0.000808335,2026-09-01T06:54:27.896595+00:00
PKGL-00079,,34.87704871,74.44343641,3858.0,4.367808718293793,0.021818263,2026-09-01T06:54:27.896595+00:00
PKGL-00080,,34.88010748,74.44832788,3694.0,4.417588745588661,0.016662246,2026-09-01T06:54:27.896595+00:00
PKGL-00081,,34.8742305,74.46815361,3649.0,6.222729085879751,0.001848374,2026-09-01T06:54:27.896595+00:00
PKGL-00082,,34.87335603,74.46835404,3649.0,6.295881048904913,0.004240915,2026-09-01T06:54:27.896595+00:00
PKGL-00083,,34.91927913,74.5216406,4045.0,6.140383090308157,0.754965753,2026-09-01T06:54:27.896595+00:00
PKGL-00084,,34.91412366,74.52854645,4060.0,6.989340819789172,0.005635789,2026-09-01T06:54:27.896595+00:00
PKGL-00085,,34.91449218,74.54360491,4173.0,7.970873065351662,0.045357093,2026-09-01T06:54:27.896595+00:00
PKGL-00086,,34.84895856,74.52268361,4018.0,5.826726285206552,0.217292385,2026-09-01T06:54:27.896595+00:00
PKGL-00087,,34.88268408,74.50773085,3583.0,7.822610794721371,0.014106051,2026-09-01T06:54:27.896595+00:00
PKGL-00088,,34.92999291,74.57868324,4287.0,9.947020481146788,0.029394611,2026-09-01T06:54:27.896595+00:00
PKGL-00089,,34.87835345,74.58610155,3818.0,10.27537764469952,0.007266541,2026-09-01T06:54:27.896595+00:00
PKGL-00090,,34.87732973,74.58712869,3812.0,10.183005649827347,0.001072802,2026-09-01T06:54:27.896595+00:00
PKGL-00091,,34.88048022,74.58627554,3848.0,10.510367605507264,0.010498989,2026-09-01T06:54:27.896595+00:00
PKGL-00092,,34.87199342,74.60211252,3564.0,9.955940163774413,0.01635248,2026-09-01T06:54:27.896595+00:00
PKGL-00093,,34.87000376,74.65902658,3567.0,11.117070356091755,0.009063474,2026-09-01T06:54:27.896595+00:00
PKGL-00094,,34.83949363,74.67585275,3868.0,9.373722542135493,0.111364795,2026-09-01T06:54:27.896595+00:00
PKGL-00095,,34.85904898,74.69584546,4033.0,12.035063564055813,0.051222856,2026-09-01T06:54:27.896595+00:00
PKGL-00096,,34.90818862,74.6801604,3865.0,15.769965709138424,0.248067301,2026-09-01T06:54:27.896595+00:00
PKGL-00097,,34.89459665,74.6612636,4202.0,13.657451274490093,0.052792729,2026-09-01T06:54:27.896595+00:00
PKGL-00098,,34.89914626,74.66334375,4283.0,14.19674607145165,0.058166805,2026-09-01T06:54:27.896595+00:00
PKGL-00099,,34.89794925,74.66109142,4289.0,13.992300393315196,0.015314678,2026-09-01T06:54:27.896595+00:00
PKGL-00100,,34.9089458,74.65523659,3954.0,14.933940658747588,0.040081308,2026-09-01T06:54:27.896595+00:00
PKGL-00101,,34.9112918,74.65700038,3924.0,15.233859023001106,0.004798301,2026-09-01T06:54:27.896595+00:00
PKGL-00102,,34.91750142,74.67170067,3685.0,16.371837599750652,0.022870294,2026-09-01T06:54:27.896595+00:00
PKGL-00103,,34.91427735,74.63777549,4025.0,15.052379569867586,0.070218064,2026-09-01T06:54:27.896595+00:00
PKGL-00104,,34.908184,74.64149452,4235.0,14.478181618022337,0.007837067,2026-09-01T06:54:27.896595+00:00
PKGL-00105,,34.84968327,74.66943133,4381.0,9.789038168416488,0.006702339,2026-09-01T06:54:27.896595+00:00
PKGL-00106,,34.88768104,74.61985869,4155.0,11.835866349318332,0.002600632,2026-09-01T06:54:27.896595+00:00
PKGL-00107,,34.93927691,74.70387386,4407.0,15.481996260274268,0.013224256,2026-09-01T06:54:27.896595+00:00
PKGL-00108,,34.94427016,74.69752986,4401.0,15.95144727005282,0.001779995,2026-09-01T06:54:27.896595+00:00
PKGL-00109,,34.94410298,74.70105045,4430.0,15.637739319819842,0.002401558,2026-09-01T06:54:27.896595+00:00
PKGL-00110,,34.94588415,74.70481959,4502.0,15.2671057609077,0.037073374,2026-09-01T06:54:27.896595+00:00
PKGL-00111,,34.92979535,74.69266512,4256.0,16.714224375372062,0.004281044,2026-09-01T06:54:27.896595+00:00
PKGL-00112,,34.93388233,74.7013803,4326.0,15.833726838032169,0.001337982,2026-09-01T06:54:27.896595+00:00
PKGL-00113,,34.93488782,74.70231031,4342.0,15.725481248046044,0.000720789,2026-09-01T06:54:27.896595+00:00
PKGL-00114,,34.94624562,74.67969938,4045.0,17.52746881757138,0.014837403,2026-09-01T06:54:27.896595+00:00
PKGL-00115,,34.94555156,74.67902526,4046.0,17.59871353804198,0.003865366,2026-09-01T06:54:27.896595+00:00
PKGL-00116,,34.95850199,74.63292619,4307.0,14.324661470023091,0.002970242,2026-09-01T06:54:27.896595+00:00
PKGL-00117,,34.9763622,74.62434194,4090.0,13.666421152598891,0.014775581,2026-09-01T06:54:27.896595+00:00
PKGL-00118,,34.97618927,74.62221615,4090.0,13.471914085176982,0.002605537,2026-09-01T06:54:27.896595+00:00
PKGL-00119,,34.9750584,74.62260571,4097.0,13.49068076890668,0.002370531,2026-09-01T06:54:27.896595+00:00
PKGL-00120,,34.97401623,74.62626473,4118.0,13.807728394795417,0.009916075,2026-09-01T06:54:27.896595+00:00
PKGL-00121,,34.98624845,74.57913492,4394.0,9.87205130128858,0.007814578,2026-09-01T06:54:27.896595+00:00
PKGL-00122,,34.98634912,74.56810286,4414.0,8.921620633149887,0.007036089,2026-09-01T06:54:27.896595+00:00
PKGL-00123,,34.98920829,74.72677336,4331.0,11.61286938407702,0.045758286,2026-09-01T06:54:27.896595+00:00
PKGL-00124,,34.96681237,74.71408814,4367.0,14.022738810984814,0.008643049,2026-09-01T06:54:27.896595+00:00
PKGL-00125,,34.96831927,74.71904414,4417.0,13.568034187624445,0.001655075,2026-09-01T06:54:27.896595+00:00
PKGL-00126,,34.96664379,74.71860977,4418.0,13.71851905510611,0.002716493,2026-09-01T06:54:27.896595+00:00
PKGL-00127,,35.00718898,74.58905736,4447.0,11.5952533050557,0.033998073,2026-09-01T06:54:27.896595+00:00
PKGL-00128,,35.00818822,74.57130681,4466.0,10.2402044341116,0.006086882,2026-09-01T06:54:27.896595+00:00
PKGL-00129,,35.03326017,74.64284011,4561.0,16.29548451003862,0.008929872,2026-09-01T06:54:27.896595+00:00
PKGL-00130,,35.02151992,74.55165716,4418.0,9.75043995035771,0.009609989,2026-09-01T06:54:27.896595+00:00
PKGL-00131,,35.06650357,74.44605283,3754.0,12.179825206573556,0.00712462,2026-09-01T06:54:27.896595+00:00
PKGL-00132,,35.05536548,74.4954593,3851.0,10.78781417435692,0.001658927,2026-09-01T06:54:27.896595+00:00
PKGL-00133,,35.05745938,74.49389571,3882.0,10.995152904287387,0.00149061,2026-09-01T06:54:27.896595+00:00
PKGL-00134,,35.0983914,74.70881434,4531.0,8.445253342462454,0.004357877,2026-09-01T06:54:27.896595+00:00
PKGL-00135,,35.0515191,74.68531016,4234.0,11.951767436753215,0.00243958,2026-09-01T06:54:27.896595+00:00
PKGL-00136,,35.05200085,74.68580173,4231.0,11.887249878425347,0.002225349,2026-09-01T06:54:27.896595+00:00
PKGL-00137,,35.04426149,74.63480063,4323.0,16.458185116675345,0.011703045,2026-09-01T06:54:27.896595+00:00
PKGL-00138,,35.16665434,74.56548827,3749.0,10.94575699669942,0.045414669,2026-09-01T06:54:27.896595+00:00
PKGL-00139,,35.14988652,74.51519235,4116.0,15.883129532606338,0.007681813,2026-09-01T06:54:27.896595+00:00
PKGL-00140,,35.19271716,74.61605261,3601.0,5.64634299993153,0.081593171,2026-09-01T06:54:27.896595+00:00
PKGL-00141,,35.33011429,74.78566511,3476.0,3.1754579072761184,0.144879733,2026-09-01T06:54:27.896595+00:00
PKGL-00142,,35.3327117,74.77453727,3664.0,3.582447089080678,0.002602659,2026-09-01T06:54:27.896595+00:00
PKGL-00143,,35.33907494,74.77247274,3594.0,3.29771657384178,0.002475688,2026-09-01T06:54:27.896595+00:00
PKGL-00144,,35.32318645,74.7534562,3759.0,5.726638071680301,0.007675641,2026-09-01T06:54:27.896595+00:00
PKGL-00145,,35.33208302,74.75961412,3682.0,4.699052597100795,0.00316577,2026-09-01T06:54:27.896595+00:00
PKGL-00146,,35.3995404,74.67515644,3387.0,2.800073327858992,0.166998319,2026-09-01T06:54:27.896595+00:00
PKGL-00147,,35.41212792,74.66847493,3108.0,1.275480720134124,0.01608893,2026-09-01T06:54:27.896595+00:00
PKGL-00148,,34.83389651,74.0523068,3546.0,10.772304642112571,0.004986959,2026-09-01T06:54:27.896595+00:00
PKGL-00149,,34.86540498,74.04752147,3814.0,11.152256350827624,0.000854494,2026-09-01T06:54:27.896595+00:00
PKGL-00150,,34.8657307,74.05034249,3819.0,10.892477041925863,0.05902182,2026-09-01T06:54:27.896595+00:00
PKGL-00151,,34.83634007,74.09311957,3713.0,8.293841849488247,0.003372502,2026-09-01T06:54:27.896595+00:00
PKGL-00152,,34.83716701,74.09156809,3715.0,8.460044098040608,0.000671565,2026-09-01T06:54:27.896595+00:00
PKGL-00153,,34.86356357,74.11346041,4119.0,5.399750850476657,0.000522017,2026-09-01T06:54:27.896595+00:00
PKGL-00154,,34.86017989,74.09757709,3690.0,6.884545285868371,0.003418232,2026-09-01T06:54:27.896595+00:00
PKGL-00155,,34.98459103,74.10550667,3437.0,12.7063825802069,0.005699431,2026-09-01T06:54:27.896595+00:00
PKGL-00156,,35.09351066,74.17846435,4101.0,16.883058833772992,0.039218784,2026-09-01T06:54:27.896595+00:00
PKGL-00157,,35.08497822,74.18272625,4245.0,17.833863590461274,0.000556991,2026-09-01T06:54:27.896595+00:00
PKGL-00158,,35.08635132,74.17987832,4207.0,17.544882360842387,0.000883882,2026-09-01T06:54:27.896595+00:00
PKGL-00159,,35.07265082,74.20178219,4336.0,18.97011379168073,0.003667438,2026-09-01T06:54:27.896595+00:00
PKGL-00160,,35.0741868,74.1774635,4042.0,18.4113680344277,0.046522634,2026-09-01T06:54:27.896595+00:00
PKGL-00161,,35.08390104,74.17690056,4155.0,17.56177947101476,0.006053636,2026-09-01T06:54:27.896595+00:00
PKGL-00162,,34.86060714,74.14545526,3929.0,3.181874466726485,0.017931692,2026-09-01T06:54:27.896595+00:00
PKGL-00163,,35.02785494,74.24018039,4421.0,17.45594290768809,0.004327633,2026-09-01T06:54:27.896595+00:00
PKGL-00164,,35.02842331,74.23841107,4409.0,17.454562221106507,0.000968107,2026-09-01T06:54:27.896595+00:00
PKGL-00165,,35.15572917,74.23629909,4590.0,9.926941115046786,0.000670544,2026-09-01T06:54:27.896595+00:00
PKGL-00166,,35.15530164,74.23570024,4589.0,9.999210139664918,0.007587649,2026-09-01T06:54:27.896595+00:00
PKGL-00167,,35.16099572,74.23666471,4681.0,9.532565468125638,0.003334568,2026-09-01T06:54:27.896595+00:00
PKGL-00168,,35.17349236,74.23537187,4690.0,8.853410975968925,0.004126431,2026-09-01T06:54:27.896595+00:00
PKGL-00169,,35.17281798,74.23499267,4689.0,8.920970297482427,0.000831677,2026-09-01T06:54:27.896595+00:00
PKGL-00170,,34.88031995,74.36086327,4008.0,3.857459195574897,0.008332244,2026-09-01T06:54:27.896595+00:00
PKGL-00171,,35.10961563,74.37935923,4267.0,12.752330801019207,0.002813905,2026-09-01T06:54:27.896595+00:00
PKGL-00172,,35.20127644,74.39931634,4613.0,7.360115984186423,0.004169869,2026-09-01T06:54:27.896595+00:00
PKGL-00173,,35.21338636,74.39775161,4418.0,7.092846564901825,0.002324768,2026-09-01T06:54:27.896595+00:00
PKGL-00174,,35.27277642,74.46982972,3898.0,7.221621827218372,0.002280068,2026-09-01T06:54:27.896595+00:00
PKGL-00175,,35.26389096,74.48616708,3991.0,8.993177219411578,0.001220265,2026-09-01T06:54:27.896595+00:00
PKGL-00176,,35.27118854,74.47605463,3926.0,7.806419190220411,0.000956787,2026-09-01T06:54:27.896595+00:00
PKGL-00177,,35.27197844,74.47594082,3917.0,7.759007072345519,0.002138409,2026-09-01T06:54:27.896595+00:00
PKGL-00178,,35.27036937,74.46680745,3878.0,7.105918173332837,0.001775073,2026-09-01T06:54:27.896595+00:00
PKGL-00179,,35.27377298,74.46294945,3837.0,6.616275199464157,0.001671253,2026-09-01T06:54:27.896595+00:00
PKGL-00180,,35.26919981,74.48153044,3944.0,8.350189283679974,0.002316434,2026-09-01T06:54:27.896595+00:00
PKGL-00181,,35.26874793,74.47627043,3933.0,7.9464161108757425,0.000711293,2026-09-01T06:54:27.896595+00:00
PKGL-00182,,35.21706839,74.45095577,4766.0,10.55997086776158,0.004421206,2026-09-01T06:54:27.896595+00:00
PKGL-00183,,34.91579598,74.55224266,4268.0,8.512255455672069,0.00769109,2026-09-01T06:54:27.896595+00:00
PKGL-00184,,34.91616479,74.55081943,4252.0,8.382545851966697,0.000373784,2026-09-01T06:54:27.896595+00:00
PKGL-00185,,34.97318281,74.51326186,3093.0,3.732824770659452,0.002800037,2026-09-01T06:54:27.896595+00:00
PKGL-00186,,35.17284305,74.5425938,3928.0,12.671435669170544,0.00187164,2026-09-01T06:54:27.896595+00:00
PKGL-00187,,35.4288492,74.71249725,4825.0,4.592193488668867,0.003585569,2026-09-01T06:54:27.896595+00:00
PKGL-00188,,35.42906386,74.70881358,4760.0,4.2667411142340566,0.004220404,2026-09-01T06:54:27.896595+00:00
PKGL-00189,,35.02898605,74.67752876,3879.0,13.45773863137841,0.0026012,2026-09-01T06:54:27.896595+00:00
PKGL-00190,,34.9113641,74.65091158,4113.0,15.061443250510331,0.002594436,2026-09-01T06:54:27.896595+00:00
PKGL-00191,,35.35076051,74.78777517,3393.0,1.4787058427191162,0.004160333,2026-09-01T06:54:27.896595+00:00
PKGL-00192,,35.33624945,74.7945702,3456.0,2.207516565075843,0.000803326,2026-09-01T06:54:27.896595+00:00
PKGL-00193,,35.33575105,74.79391974,3453.0,2.2807106636525987,0.001889601,2026-09-01T06:54:27.896595+00:00
PKGL-00194,,35.33176378,74.7911331,3481.0,2.787269599515359,0.000667741,2026-09-01T06:54:27.896595+00:00
PKGL-00195,,35.2814975,74.73796965,4393.0,2.4508818935740844,0.002394383,2026-09-01T06:54:27.896595+00:00
PKGL-00196,,35.36421345,74.68127495,4207.0,6.7009326304133,0.018216347,2026-09-01T06:54:27.896595+00:00
PKGL-00197,,35.44748321,74.70944522,4548.0,5.086987346659503,0.021013819,2026-09-01T06:54:27.896595+00:00
PKGL-00198,,35.44821834,74.70845651,4555.0,5.057985003726276,0.00014662,2026-09-01T06:54:27.896595+00:00
PKGL-00199,,34.9385985,74.62691722,4276.0,13.97650099744565,0.005997156,2026-09-01T06:54:27.896595+00:00
PKGL-00200,,34.9181976,74.61667102,4088.0,13.649696567002016,0.005753862,2026-09-01T06:54:27.896595+00:00
PKGL-00201,,34.98203261,74.59289673,4011.0,10.95958500650756,0.001136409,2026-09-01T06:54:27.896595+00:00
PKGL-00202,,35.01355005,74.60714406,4562.0,13.384483260622964,0.000886358,2026-09-01T06:54:27.896595+00:00
PKGL-00203,,35.01323541,74.60605749,4559.0,13.2803291292988,0.004917332,2026-09-01T06:54:27.896595+00:00
PKGL-00204,,35.04835115,74.60071182,4413.0,15.05720793469971,0.005143507,2026-09-01T06:54:27.896595+00:00
PKGL-00205,,35.10472955,74.6120123,4241.0,12.61915739609984,0.004451816,2026-09-01T06:54:27.896595+00:00
PKGL-00206,,35.17463519,74.56700403,3732.0,10.4976074363522,0.002216133,2026-09-01T06:54:27.896595+00:00
PKGL-00207,,35.10417475,74.5162856,4925.0,16.483297657907382,0.007525629,2026-09-01T06:54:27.896595+00:00
PKGL-00208,,35.00809999,74.48058725,4158.0,5.399713342364668,0.001234364,2026-09-01T06:54:27.896595+00:00
PKGL-00209,,34.99498901,74.44136211,3151.0,5.0209494331647,0.00178117,2026-09-01T06:54:27.896595+00:00
PKGL-00210,,36.43187072,72.01837296,3758.0,14.032704285899143,0.002082331,2026-09-01T06:54:27.896595+00:00
PKGL-00211,,36.43303777,72.01547532,3761.0,14.30852601149852,0.008813377,2026-09-01T06:54:27.896595+00:00
PKGL-00212,,36.4350035,72.01835987,3790.0,14.280706894617596,0.002672722,2026-09-01T06:54:27.896595+00:00
PKGL-00213,,36.43677515,72.01643589,3810.0,14.541911506997494,0.000445158,2026-09-01T06:54:27.896595+00:00
PKGL-00214,,36.43692057,72.01373995,3822.0,14.72267405119083,0.003412868,2026-09-01T06:54:27.896595+00:00
PKGL-00215,,36.44020202,72.02075028,3808.0,14.555653207011488,0.000517341,2026-09-01T06:54:27.896595+00:00
PKGL-00216,,36.44311858,72.00994964,3891.0,15.452218637521478,0.000819689,2026-09-01T06:54:27.896595+00:00
PKGL-00217,,36.44390607,72.01063894,3885.0,15.472786910135016,0.000282954,2026-09-01T06:54:27.896595+00:00
PKGL-00218,,36.44406348,72.0089609,3906.0,15.58924313836979,0.001429009,2026-09-01T06:54:27.896595+00:00
PKGL-00219,,36.44461575,72.00821611,3907.0,15.679691333541369,0.000990743,2026-09-01T06:54:27.896595+00:00
PKGL-00220,,36.446495,72.00497141,3918.0,16.031699235738827,0.008931604,2026-09-01T06:54:27.896595+00:00
PKGL-00221,,36.44794995,72.00284606,3948.0,16.280229018340677,0.006052926,2026-09-01T06:54:27.896595+00:00
PKGL-00222,,36.44876667,72.00237148,3954.0,16.374920704287543,0.002512921,2026-09-01T06:54:27.896595+00:00
PKGL-00223,,36.44931448,71.99715946,3983.0,16.745930483140498,0.000386847,2026-09-01T06:54:27.896595+00:00
PKGL-00224,,36.44828746,71.9959074,3979.0,16.745576664269123,0.000692535,2026-09-01T06:54:27.896595+00:00
PKGL-00225,,36.45156103,72.0007375,3955.0,16.700022819509226,0.000684891,2026-09-01T06:54:27.896595+00:00
PKGL-00226,,36.45126478,72.00111963,3956.0,16.652591795231302,0.000567758,2026-09-01T06:54:27.896595+00:00
PKGL-00227,,36.45093978,72.00279883,3947.0,16.522813600745103,0.001924058,2026-09-01T06:54:27.896595+00:00
PKGL-00228,,36.45041616,72.0042859,3939.0,16.389143668930245,0.000485713,2026-09-01T06:54:27.896595+00:00
PKGL-00229,,36.44816062,72.00882712,3906.0,15.928575983160028,0.001258353,2026-09-01T06:54:27.896595+00:00
